Country,Date,Cases,Deaths,Recovered
Austria,2020-02-15,0,0,0
Austria,2020-02-16,0,0,0
Austria,2020-02-17,0,0,0
Austria,2020-02-18,0,0,0
Austria,2020-02-19,0,0,0
Austria,2020-02-20,0,0,0
Austria,2020-02-21,0,0,0
Austria,2020-02-22,0,0,0
Austria,2020-02-23,0,0,0
Austria,2020-02-24,0,0,0
Austria,2020-02-25,2,0,0
Austria,2020-02-26,2,0,0
Austria,2020-02-27,5,0,0
Austria,2020-02-28,7,0,0
Austria,2020-02-29,10,0,0
Austria,2020-03-01,14,0,0
Austria,2020-03-02,18,0,0
Austria,2020-03-03,24,0,0
Austria,2020-03-04,29,0,0
Austria,2020-03-05,43,0,2
Austria,2020-03-06,66,0,2
Austria,2020-03-07,81,0,2
Austria,2020-03-08,104,0,2
Austria,2020-03-09,131,0,2
Austria,2020-03-10,182,0,4
Austria,2020-03-11,246,0,4
Austria,2020-03-12,361,1,4
Austria,2020-03-13,504,1,6
Austria,2020-03-14,655,1,6
Austria,2020-03-15,860,1,6
Austria,2020-03-16,1018,3,8
Austria,2020-03-17,1332,4,9
Austria,2020-03-18,1646,4,9
Austria,2020-03-19,2179,6,9
Austria,2020-03-20,2649,6,9
Austria,2020-03-21,2992,8,9
Austria,2020-03-22,3582,16,9
Austria,2020-03-23,4474,21,9
Austria,2020-03-24,5283,28,9
Austria,2020-03-25,5588,31,9
Austria,2020-03-26,6909,51,112
Austria,2020-03-27,7697,61,225
Austria,2020-03-28,8271,72,225
Austria,2020-03-29,8788,92,479
Austria,2020-03-30,9618,116,636
Austria,2020-03-31,10180,138,1095
Austria,2020-04-01,10711,158,1436
Austria,2020-04-02,11129,171,1749
Austria,2020-04-03,11524,182,2022
Austria,2020-04-04,11781,202,2507
Austria,2020-04-05,12051,222,2998
Austria,2020-04-06,12297,240,3463
Austria,2020-04-07,12639,265,4046
Austria,2020-04-08,12942,298,4512
Austria,2020-04-09,13244,322,5240
Austria,2020-04-10,13560,348,6064
Austria,2020-04-11,13806,368,6604
Austria,2020-04-12,13945,382,6987
Austria,2020-04-13,14041,402,7343
Austria,2020-04-14,14226,420,7633
Austria,2020-04-15,14350,430,8098
Austria,2020-04-16,14476,449,8986
Austria,2020-04-17,14595,472,9704
Austria,2020-04-18,14671,485,10214
Austria,2020-04-19,14749,495,10501
Austria,2020-04-20,14795,515,10631
Austria,2020-04-21,14873,538,10971
Austria,2020-04-22,14925,559,11328
Austria,2020-04-23,15002,572,11694
Austria,2020-04-24,15071,580,11872
Austria,2020-04-25,15148,586,12103
Austria,2020-04-26,15225,592,12282
Austria,2020-04-27,15274,599,12362
Austria,2020-04-28,15357,621,12580
Austria,2020-04-29,15402,633,12779
Austria,2020-04-30,15452,637,12907
Austria,2020-05-01,15531,642,13110
Austria,2020-05-02,15558,649,13180
Austria,2020-05-03,15597,651,13228
Austria,2020-05-04,15621,653,13316
Austria,2020-05-05,15650,659,13462
Austria,2020-05-06,15684,661,13639
Austria,2020-05-07,15752,662,13698
Austria,2020-05-08,15774,667,13836
Austria,2020-05-09,15833,668,13928
Austria,2020-05-10,15871,671,13991
Austria,2020-05-11,15882,673,14061
Austria,2020-05-12,15961,676,14148
Austria,2020-05-13,15997,677,14304
Austria,2020-05-14,16058,679,14405
Austria,2020-05-15,16109,681,14471
Austria,2020-05-16,16201,682,14524
Austria,2020-05-17,16242,682,14563
Austria,2020-05-18,16269,682,14614
Austria,2020-05-19,16321,685,14678
Austria,2020-05-20,16353,686,14882
Austria,2020-05-21,16404,686,14951
Austria,2020-05-22,16436,688,15005
Austria,2020-05-23,16486,692,15037
