Area,Date,Cases,Deaths
Açores,2020-02-26,0,0
Açores,2020-02-27,0,0
Açores,2020-02-28,0,0
Açores,2020-02-29,0,0
Açores,2020-03-01,0,0
Açores,2020-03-02,0,0
Açores,2020-03-03,0,0
Açores,2020-03-04,0,0
Açores,2020-03-05,0,0
Açores,2020-03-06,0,0
Açores,2020-03-07,0,0
Açores,2020-03-08,0,0
Açores,2020-03-09,0,0
Açores,2020-03-10,0,0
Açores,2020-03-11,0,0
Açores,2020-03-12,0,0
Açores,2020-03-13,0,0
Açores,2020-03-14,0,0
Açores,2020-03-15,1,0
Açores,2020-03-16,1,0
Açores,2020-03-17,1,0
Açores,2020-03-18,3,0
Açores,2020-03-19,3,0
Açores,2020-03-20,3,0
Açores,2020-03-21,3,0
Açores,2020-03-22,4,0
Açores,2020-03-23,11,0
Açores,2020-03-24,12,0
Açores,2020-03-25,17,0
Açores,2020-03-26,24,0
Açores,2020-03-27,24,0
Açores,2020-03-28,30,0
Açores,2020-03-29,33,0
Açores,2020-03-30,41,0
Açores,2020-03-31,48,0
Açores,2020-04-01,52,0
Açores,2020-04-02,57,0
Açores,2020-04-03,63,0
Açores,2020-04-04,63,0
Açores,2020-04-05,67,0
Açores,2020-04-06,68,0
Açores,2020-04-07,68,0
Açores,2020-04-08,70,0
Açores,2020-04-09,91,1
Açores,2020-04-10,94,2
Açores,2020-04-11,94,3
Açores,2020-04-12,94,4
Açores,2020-04-13,94,4
Açores,2020-04-14,100,4
Açores,2020-04-15,100,4
Açores,2020-04-16,102,4
Açores,2020-04-17,102,4
Açores,2020-04-18,104,4
Açores,2020-04-19,106,5
Açores,2020-04-20,107,6
Açores,2020-04-21,107,6
Açores,2020-04-22,109,6
Açores,2020-04-23,109,8
Açores,2020-04-24,109,8
Açores,2020-04-25,111,8
Açores,2020-04-26,120,8
Açores,2020-04-27,120,9
Açores,2020-04-28,121,10
Açores,2020-04-29,125,12
Açores,2020-04-30,127,12
Açores,2020-05-01,127,12
Açores,2020-05-02,131,13
Açores,2020-05-03,132,13
Açores,2020-05-04,132,13
Açores,2020-05-05,132,13
Açores,2020-05-06,132,13
Açores,2020-05-07,132,14
Açores,2020-05-08,135,14
Açores,2020-05-09,135,14
Açores,2020-05-10,135,14
Açores,2020-05-11,135,14
Açores,2020-05-12,135,15
Açores,2020-05-13,135,15
Açores,2020-05-14,135,15
Açores,2020-05-15,135,15
Açores,2020-05-16,135,15
Açores,2020-05-17,135,15
Açores,2020-05-18,135,15
Açores,2020-05-19,135,15
Açores,2020-05-20,135,15
Açores,2020-05-21,135,15
Açores,2020-05-22,135,15
